URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.fife.ac.uk/courses/search-all-courses/hcmee/,2022-12-09 18:59:22,4,1,1,2,0
https://www.fife.ac.uk/courses/subject-areas/digital-computing-and-cyber/,2022-12-09 18:59:29,6,1,2,3,0
https://www.fife.ac.uk/courses/subject-areas/engineering-and-energy/,2022-12-09 18:59:35,5,1,1,3,0
https://www.fife.ac.uk/employers/modern-apprenticeships/hairdressing-and-barbering-mas/,2022-12-09 18:59:41,3,1,0,2,0
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/a-to-z-of-all-courses/,2022-12-09 18:59:48,5,1,0,3,1
https://www.fife.ac.uk/employers/tailored-solutions/,2022-12-09 18:59:54,5,1,1,3,0
https://www.fife.ac.uk/employers/health-safety-and-environmental-management/,2022-12-09 19:00:00,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/engineering-and-energy/,2022-12-09 19:00:07,5,1,1,3,0
https://www.fife.ac.uk/case-studies/stephen-watson/,2022-12-09 19:00:14,4,1,1,2,0
https://www.fife.ac.uk/employers/support-with-funding/,2022-12-09 19:00:21,4,1,0,3,0
https://www.fife.ac.uk/employers/support-with-funding/flexible-workforce-development-fund/,2022-12-09 19:00:27,4,1,1,2,0
https://www.fife.ac.uk/case-studies/cameron-mclinden/,2022-12-09 19:00:35,5,1,2,2,0
https://www.fife.ac.uk/courses/degrees/,2022-12-09 19:00:42,7,3,0,3,1
https://www.fife.ac.uk/courses/degrees/degrees-with-the-ou/,2022-12-09 19:00:48,6,1,1,3,1
https://www.fife.ac.uk/he-digital-computing-and-cyber/,2022-12-09 19:00:55,5,1,1,3,0
https://www.fife.ac.uk/he-expressive-and-visual-arts/,2022-12-09 19:01:05,4,1,0,3,0
https://www.fife.ac.uk/employers/health-safety-and-environmental-management/,2022-12-09 19:01:12,5,1,1,3,0
https://www.fife.ac.uk/students/learner-surveys/,2022-12-09 19:01:29,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/hair-beauty-and-make-up-artistry/,2022-12-09 19:01:36,5,1,1,3,0
https://www.fife.ac.uk/student-funding/,2022-12-09 19:01:43,4,1,1,2,0
https://www.fife.ac.uk/schools/schools-information/,2022-12-09 19:01:49,5,1,1,3,0
https://www.fife.ac.uk/he-accounting-courses/,2022-12-09 19:01:55,4,1,0,3,0
https://www.fife.ac.uk/he-and-degree-search-result-page/,2022-12-09 19:02:34,5,1,1,3,0
https://www.fife.ac.uk/studying-with-us/student-support-services/student-employability-hub/,2022-12-09 19:02:40,7,2,2,2,1
https://www.fife.ac.uk/studying-with-us/facilities/gym/,2022-12-09 19:02:54,4,1,0,3,0
